variant,seed,waveform_misfit,pde_evaluations,runtime_seconds,injections,successful_injections,qc_rejected,stop_reason,velocity_mae,velocity_rmse,relative_l2,ssim
gradient,43,0.05349937826395035,9,0.8374048999976367,0,0,0,max_generations,611.6214599609375,649.6620483398438,0.2227851152420044,0.5068419575691223
latent_ga,43,0.07585139572620392,13,0.5172015000134706,0,0,0,max_generations,595.154052734375,629.30126953125,0.2158028930425644,0.5653818249702454
ga_local,43,0.016666097566485405,33,0.8164718999760225,0,0,0,max_generations,440.51800537109375,547.281494140625,0.1876762956380844,0.5962415933609009
ga_bank_static,43,0.07632064074277878,13,0.51452289998997,1,0,0,max_generations,593.0316772460938,624.8986206054688,0.21429309248924255,0.569349467754364
full,43,0.016666097566485405,33,0.9783423999906518,0,0,0,max_generations,440.51800537109375,547.281494140625,0.1876762956380844,0.5962415933609009
no_qc,43,0.016666097566485405,33,0.8639779999502935,0,0,0,max_generations,440.51800537109375,547.281494140625,0.1876762956380844,0.5962415933609009
no_local,43,0.03538285195827484,27,0.6872674000333063,0,0,0,max_generations,536.6470336914062,594.7335205078125,0.20394878089427948,0.5734282732009888
no_dynamic,43,0.02033528871834278,19,0.67028559994651,1,0,0,max_generations,454.7295837402344,497.7136535644531,0.1706782579421997,0.6578153967857361
gradient,44,0.01035031583160162,9,0.5089251000317745,0,0,0,max_generations,542.6851196289062,693.8621215820312,0.2699272334575653,0.26580357551574707
latent_ga,44,0.006851233541965485,13,0.4741970999748446,0,0,0,max_generations,511.1148376464844,672.5565795898438,0.26163890957832336,0.32060855627059937
ga_local,44,0.0018924929900094867,32,0.7999041000148281,0,0,1,max_generations,290.072265625,350.2078857421875,0.13623836636543274,0.49629515409469604
ga_bank_static,44,0.006851233541965485,13,0.5381184000289068,0,0,0,max_generations,511.1148376464844,672.5565795898438,0.26163890957832336,0.32060855627059937
full,44,0.0018924929900094867,33,0.923722599982284,0,0,0,max_generations,290.072265625,350.2078857421875,0.13623836636543274,0.49629515409469604
no_qc,44,0.0018924929900094867,33,0.864652699965518,0,0,0,max_generations,290.072265625,350.2078857421875,0.13623836636543274,0.49629515409469604
no_local,44,0.007250369526445866,27,0.6962719000293873,0,0,0,max_generations,266.0930480957031,324.953857421875,0.12641401588916779,0.5077918171882629
no_dynamic,44,0.006851233541965485,19,0.678021700005047,0,0,0,max_generations,511.1148376464844,672.5565795898438,0.26163890957832336,0.32060855627059937
gradient,45,0.005363845266401768,9,0.4936723999562673,0,0,0,max_generations,383.4957275390625,470.91558837890625,0.1363118439912796,0.5380808115005493
latent_ga,45,0.003990737721323967,13,0.49835230002645403,0,0,0,max_generations,353.6428527832031,425.9879455566406,0.12330701947212219,0.5787319540977478
ga_local,45,0.004068912472575903,33,0.8358019999577664,0,0,0,max_generations,356.3482971191406,429.3484802246094,0.12427976727485657,0.5763355493545532
ga_bank_static,45,0.005117011722177267,13,0.5577399000176229,1,0,0,max_generations,381.1718444824219,468.1221923828125,0.13550324738025665,0.5393673181533813
full,45,0.004068912472575903,33,0.869301600032486,0,0,0,max_generations,356.3482971191406,429.3484802246094,0.12427976727485657,0.5763355493545532
no_qc,45,0.004068912472575903,33,0.8711249000043608,0,0,0,max_generations,356.3482971191406,429.3484802246094,0.12427976727485657,0.5763355493545532
no_local,45,0.004068912472575903,27,0.7000015000230633,0,0,0,max_generations,356.3482971191406,429.3484802246094,0.12427976727485657,0.5763355493545532
no_dynamic,45,0.005117011722177267,19,0.6687389999860898,1,0,0,max_generations,381.1718444824219,468.1221923828125,0.13550324738025665,0.5393673181533813
